id,number,external_id,title,plot,poster,season_id,inserted_at,updated_at
24,2,23818,Joshua Peabody Died Here ... Possibly,"Plans to build a new hotel in Cabot Cove are put on hold when diggers discover an old skeleton that had been buried deeply that many of the townspeople believe to be the remains of Joshua Peabody. Not everyone is thus inclined though, and many people believe it's just a random dead body. But when Jessica and Amos head back to the dig site, they find there's another body there! Jessica not only has to find out who killed Wheatley, she has to help an old friend when his past comes back to haunt him.",s2e2.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
25,3,23819,Murder in the Afternoon,"While filming a soap opera in which Mrs. Fletcher's niece plays a part, a 'pretend' victim is really dead.",s2e3.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
27,5,23821,Sing a Song of Murder,"When cousin Emma's life is threatened, she plays dead and Jessica is summoned to London as the heir to the estate.",s2e5.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
60,16,23854,Death Takes a Dive,Jessica inherits a boxer's contract and her old friend; Harry McGraw is accused of murdering its former owner.,s3e16.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
28,6,23822,Reflections of the Mind,"Jessica decides to pay a visit to her long-time friend Francesca, only to learn that Francesca, who is now married to a much younger man, is convinced that she is being haunted by the ghost of her first husband, Ross. When her new husband, Scott, turns up dead, the investigation reveals that he had been poisoned, and suspicion turns to Francesca. Jessica, however, is determined to prove that her friend did not commit the crime, and begins looking into the mysterious re-appearances of her dead husband.",s2e6.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
29,7,23823,A Lady in the Lake,"While spending time at a lake, Jessica sees what appears to be a struggle and a woman falling from a boat into the lake.",s2e7.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
31,9,23825,Jessica Behind Bars,"Doing public service, Jessica becomes a hostage in a prison riot caused by anger in the handling of the doctor's murder.",s2e9.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
32,10,23826,Sticks & Stones,"",s2e10.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
33,11,23827,Murder Digs Deep,An archaeological dig at the site of Coronado's City of Gold does not please everyone and a new corpse is dug up.,s2e11.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
34,12,23828,Murder by Appointment Only,One of Jessica's former students is murdered and she takes a personal interest in the investigation.,s2e12.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
35,13,23829,Trial by Error,It's a bad day for the jurors when Jessica is the foreperson of the jury hearing the case of a man claiming self-defense in the death of an enraged husband.,s2e13.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
40,18,23834,If A Body Meet A Body,Investigation of a claim that the deceased was murdered leads the police to discover that the wrong body is in the coffin.,s2e18.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
41,19,23835,Christopher Bundy -- Died On Sunday,"Jessica and Grady head to the home of publisher Christopher Bundy, whose publishing company owns the rights to Jessica's first short story. Jessica is quite upset, as Bundy's magazine is known for it's racy pictures of young women. While there, Jessica is pleased to run into an old acquaintance, Chester Harrison, and when Harrison is accused of murdering Christopher Bundy, Jessica vows to prove his innocence but runs into trouble when the family isn't interested in having their own skeletons dragged out of the closet.",s2e19.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
42,20,23836,"Menace, Anyone?",Who was the intended victim when a tennis star is blown up in his girl friend's car?,s2e20.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
43,21,23837,The Perfect Foil,"At the request of aunt Mildred, Jessica agrees to stop by New Orleans to check on cousin Cal while on her way to Houston. No sooner does Jessica get to New Orleans then she is tossed into a Mardi Gras party where the host ends up dead, and Cal is accused of the crime. While attempting to clear Cal's name and reputation, Jessica delves into the world of cheating poker players, cheating girlfriends and vengefilled police officers while trying to convince a local lieutenant that Cal is not capable of murder.",s2e21.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
44,22,23838,If the Frame Fits,"After Julia Marcus Granger is found murdered during what seems to have been an apparent art theft, suspicion turns to her husband Donald, who, as a result, also ends up being suspected in a recent rash of art thefts where there were no fatalities. Julia's sister Sabrina is convinced that Donald didn't do it and begs Jessica for help. While looking into Julia's murder, Jessica realises that she has two completely different criminals on her hands, and someone tampered with the scene of Julia's murder to make it look like something else.",s2e22.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
45,1,23839,Death Stalks the Big Top (1),"",s3e1.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
48,4,23845,One White Rose for Death,"Attending a concert in Washington, D.C., Jessica gets involved with two East German defectors and a murder.",s3e4.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
49,5,23846,Corned Beef And Carnage,An adman handling the account of a fast-food chain is murdered and Jessica smells something funny.,s3e5.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
50,6,23847,Dead Man's Gold,"While diving for sunken treasure near Cabot Cove, a young woman is murdered.",s3e6.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
51,7,23841,Deadline for Murder,"A veteran reporter, who suffered a heart attack, says his best medicine would be the removal of his publisher who has turned a good paper into a yellow rag.",s3e7.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
52,8,23842,Magnum on Ice (II),"Jessica offers to help Thomas Magnum, who has been accused of killing a hitman with an unknown target.

The crossover starts on Magnum, P.I. S07E09 Novel Connection (I).",s3e8.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
54,10,23849,Stage Struck,"The murder of the leading lady's understudy disrupts rehearsals of a play starring two previously married, but now warring, actors.",s3e10.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
55,11,23850,Night of the Headless Horseman,"The 'headless' horseman rides again, but his costume becomes more realistic.",s3e11.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
56,12,23851,The Corpse Flew First Class,Theft and murder of the courier occur on board a jet bound for London.,s3e12.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
57,13,23852,Crossed Up,The phone wires get crossed during a storm and Jessica can't convince anyone that what she heard was real.,s3e13.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
58,14,23853,Murder in a Minor Key,Jessica tells the tale of a composer accused of killing the professor who plagiarized his music.,s3e14.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
59,15,23789,The Bottom Line Is Murder,A lying TV Consumer advocate is killed. Was it done by one of the clients whose products he maligned?,s3e15.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
61,17,23855,"Simon Says, Color Me Dead",An artist is murdered and his prized painting is missing.,s3e17.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
62,18,23856,No Laughing Murder,"After the engagement party for the offspring of two estranged comics, someone is found dead.",s3e18.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
63,19,23857,No Accounting for Murder,"Grady Fletcher is in big trouble when his boss, a specialist in tax shelters, is found dead and he is the main suspect.",s3e19.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
64,20,23843,The Cemetery Vote,"First, the reform mayor dies in an """"accident"""" and then the mayor's father is murdered after he demands an investigation of the """"accident"""".",s3e20.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
65,21,23858,The Days Dwindle Down,"Thirty years ago, Sam Wilson was sent to prison for murdering his boss, Malcolm Jarvis. After finally being released, Sam goes home to his wife and now-grown son who is expecting his first child with his wife, Terry. At Georgia Jarvis' request, Jessica looks into the crime, and through flashbacks, Sam remembers when Jarvis had offered him $10,000 to make his suicide look like murder. While Jessica believes that Sam is innocent, she doesn't believe it was suicide, and asks Sam's son Rod, a police officer, to lend a hand.",s3e21.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
66,22,23859,"Murder, She Spoke","During a short black-out in the studio where Jessica is recording a book for the blind, the studio co-owner is murdered.",s3e22.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
26,4,23820,School for Scandal,"When Jessica is offered an honorary degree from Crenshaw University, she has no idea she's about to become embroiled in a murder. After the boyfriend of (in)famous writer Daphne Clover is found murdered, Jessica agrees to assist the chief of police, who has never had a murder case before, find out who the killer is. She soon has more on her plate than she bargained for when first Daphne's mother confesses, then Daphne herself confesses. Jessica realises the two women are simply trying to protect each other, and begins to look at the faculty at the university.",s2e4.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
37,15,23831,Powder Keg,"After their car breaks down after dinner with the governor, Jessica and her friend Ames Caufield find themselves in a small southern town just in time for local bad boy Ed Bonner to be found dead, and young Matt Burns, the son of a former student of Ames', ends up accused of the murder. At the behest of Linda Bonner, the victim's sister who happens to care deeply about the accused, Jessica takes a look into the murder, but hatred runs deep in this town and it's pure luck (and Andy Crane) that leads Jessica and Ames to the right answer.",s2e15.jpg,2,2020-12-13 11:40:00,2021-04-21 18:21:48
53,9,23848,Obituary for a Dead Anchor,"Jessica reluctantly agrees to do an interview for an old friend, Paula Roman, but is surprised when Kevin Keats, a journalist who had been doing a series of stories on an art dealer who was really a drug dealer, shows up to do the interview, complete with cameras and crew. After Kevin is presumed dead when a boat Amos chartered for him explodes, Cabot Cove explodes with press and paparazzi, and the citizens blame Jessica for all the problems it causes, demanding that she solve the mystery. Unfortunately, once Keats is revealed to be alive and well, the real question is who the true target was.",s3e9.jpg,3,2020-12-13 11:40:00,2021-04-21 18:21:48
5,5,23799,It's a Dog's Life,"While visiting her cousin at Langley Manor, a country estate in the South, a man dies during a fox-hunt under strang circumstances, and Jessica tries to find out what really happened.",ih0NKecfdOdBJHfkssrdJE26qId.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
7,7,23801,"Hit, Run and Homicide",Jessica helps a most unconventional neighbor who is accused of murdering his former partner with one of his inventions.,nV5Wy265xP5e9CVPiTU4bnUqt6a.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
8,8,23802,We're Off to Kill the Wizard,"Jessica is asked to help solve the ""impossible"" murder of a wealthy, and much disliked, amusement park owner.",owoVnTRsSfSEmGqwtbXb3qlj83L.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
9,9,23803,Death Takes a Curtain Call,"While attending a special ballet performance, Jessica helps solve the backstage murder of a young dancer by a defecting ballerina.",tw27Xp6jwjVFcMAl0mUliAz1wp4.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
10,10,23804,Death Casts a Spell,"Jessica's deductive abilities are in demand when a flamboyant hypnotist turns up dead, behind locked doors, in front of an audience of journalists whom he had put into a trance.",evSxI09JljWIYV4f534k4iB7Wk.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
11,11,23814,Capitol Offense,Jessica is assigned to fill the empty seat of a deceased congressman for a brief period of time and finds a great deal of political game-playing in Washington.,e088OmEDstuhTQPksu5JCOnuVJQ.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
